,job_title,salary_usd,experience_level,employment_type,company_location,company_size,required_skills,education_required,years_experience,industry,company_name,post_date,year,remote_category
4855,ML Ops Engineer,122025,MI,CT,Australia,L,"R, Tableau, Python",Bachelor,3,Retail,Cognitive Computing,2024-07-19,2024,Remote
4856,Research Scientist,104698,SE,FT,Australia,S,"AWS, Scala, NLP, SQL",Bachelor,6,Energy,Machine Intelligence Group,2024-11-05,2024,Hybrid
4857,AI Specialist,36052,EN,FT,South Korea,S,"Java, PyTorch, Computer Vision, R, TensorFlow",Associate,0,Media,Machine Intelligence Group,2025-01-29,2025,On-Site
4858,AI Consultant,190891,EX,PT,Singapore,L,"Tableau, Linux, GCP, Java",Associate,12,Transportation,DataVision Ltd,2025-02-05,2025,Remote
4859,Principal Data Scientist,60615,EN,FL,Australia,S,"GCP, Java, MLOps",Master,1,Energy,Algorithmic Solutions,2024-09-04,2024,On-Site
4860,AI Software Engineer,74581,MI,PT,Israel,L,"Hadoop, TensorFlow, Kubernetes",Bachelor,2,Telecommunications,AI Innovations,2024-04-16,2024,On-Site
4861,AI Specialist,159428,SE,FT,Singapore,M,"Tableau, Hadoop, Python, Spark, SQL",PhD,6,Technology,Cloud AI Solutions,2024-01-21,2024,Remote
4862,AI Product Manager,90930,MI,FL,Singapore,M,"Linux, Git, Scala, Spark",Bachelor,4,Consulting,Machine Intelligence Group,2025-02-01,2025,On-Site
4863,AI Architect,131045,SE,FT,Canada,L,"PyTorch, Hadoop, Azure, Computer Vision, SQL",Bachelor,7,Education,Future Systems,2025-01-28,2025,On-Site
4864,Data Scientist,98030,MI,FT,Denmark,S,"SQL, Mathematics, Java, Hadoop",Bachelor,3,Education,AI Innovations,2024-12-20,2024,Hybrid
4865,Machine Learning Researcher,138792,EX,CT,Ireland,M,"NLP, Java, Python, Kubernetes",Bachelor,17,Consulting,Digital Transformation LLC,2024-09-11,2024,Hybrid
4866,AI Architect,189776,SE,FT,Denmark,L,"TensorFlow, MLOps, Python",PhD,7,Education,Machine Intelligence Group,2024-08-30,2024,Remote
4867,Deep Learning Engineer,61734,EN,CT,Canada,S,"Kubernetes, Java, Computer Vision, Azure, Mathematics",PhD,1,Transportation,TechCorp Inc,2025-02-01,2025,On-Site
4868,Research Scientist,142134,SE,PT,France,M,"Deep Learning, Linux, Hadoop, TensorFlow, Scala",Bachelor,5,Manufacturing,Digital Transformation LLC,2024-10-31,2024,Hybrid
4869,AI Consultant,143660,EX,PT,South Korea,S,"Kubernetes, Computer Vision, MLOps",Associate,15,Healthcare,Autonomous Tech,2025-01-06,2025,Remote
4870,Robotics Engineer,108250,EX,PT,South Korea,M,"PyTorch, Spark, TensorFlow, Python, SQL",Master,17,Real Estate,Algorithmic Solutions,2024-07-14,2024,Remote
4871,AI Specialist,128857,EX,CT,Israel,S,"Linux, SQL, TensorFlow, Mathematics",PhD,10,Finance,Cloud AI Solutions,2024-08-03,2024,Hybrid
4872,Robotics Engineer,64321,EN,FT,Australia,S,"TensorFlow, Python, Tableau",Bachelor,1,Manufacturing,Quantum Computing Inc,2024-12-16,2024,On-Site
4873,Data Scientist,117072,MI,FL,Switzerland,S,"Java, Python, GCP",Master,4,Healthcare,Autonomous Tech,2024-06-02,2024,Hybrid
4874,Data Analyst,62731,MI,FL,Japan,M,"NLP, PyTorch, TensorFlow",PhD,2,Automotive,Digital Transformation LLC,2024-12-27,2024,On-Site
4875,Data Engineer,72279,EN,CT,France,M,"Hadoop, TensorFlow, PyTorch",Master,0,Manufacturing,Neural Networks Co,2025-02-21,2025,Remote
4876,Autonomous Systems Engineer,122734,EX,FT,China,S,"PyTorch, Linux, Data Visualization, Deep Learning",Master,10,Consulting,Advanced Robotics,2024-04-10,2024,Hybrid
4877,Research Scientist,93777,EN,FT,Norway,M,"Git, GCP, Azure, Docker, PyTorch",Master,0,Media,Machine Intelligence Group,2024-05-31,2024,Remote
4878,AI Product Manager,59954,EN,FL,Canada,S,"Kubernetes, PyTorch, TensorFlow",Associate,1,Automotive,Machine Intelligence Group,2025-03-18,2025,Hybrid
4879,Research Scientist,58961,EN,FT,Finland,L,"Deep Learning, PyTorch, Git, SQL, Java",Bachelor,1,Automotive,Autonomous Tech,2024-09-10,2024,On-Site
4880,Data Analyst,158009,EX,FT,Finland,S,"MLOps, R, GCP, Kubernetes, Linux",PhD,10,Technology,Digital Transformation LLC,2024-06-24,2024,Hybrid
4881,AI Specialist,51230,EN,PT,Japan,S,"Deep Learning, PyTorch, Statistics",Bachelor,1,Healthcare,Future Systems,2025-04-15,2025,Remote
4882,AI Research Scientist,268888,EX,PT,Denmark,S,"Java, SQL, Azure",Associate,16,Consulting,AI Innovations,2025-04-10,2025,On-Site
4883,Machine Learning Engineer,179359,EX,FT,Netherlands,S,"Kubernetes, Data Visualization, Scala, Deep Learning",Bachelor,15,Transportation,TechCorp Inc,2025-03-17,2025,Hybrid
4884,ML Ops Engineer,34190,EN,FT,Japan,S,"SQL, PyTorch, AWS",PhD,1,Retail,Autonomous Tech,2025-01-24,2025,On-Site
4885,Machine Learning Researcher,138387,SE,FT,Sweden,M,"SQL, Java, Tableau",Bachelor,6,Consulting,Cognitive Computing,2024-08-02,2024,Hybrid
4886,Data Scientist,83976,MI,FL,Sweden,M,"SQL, Git, Tableau, Python",Associate,3,Consulting,DeepTech Ventures,2024-09-25,2024,On-Site
4887,Machine Learning Engineer,198926,EX,CT,Germany,S,"NLP, TensorFlow, Hadoop, Statistics, Deep Learning",Bachelor,11,Automotive,Digital Transformation LLC,2024-08-19,2024,On-Site
4888,Deep Learning Engineer,81667,SE,CT,Japan,S,"Python, SQL, NLP, Git",Master,7,Manufacturing,TechCorp Inc,2024-01-24,2024,Hybrid
4889,Robotics Engineer,76755,MI,CT,China,M,"Java, Kubernetes, GCP, AWS",Associate,2,Government,Autonomous Tech,2024-12-14,2024,On-Site
4890,Robotics Engineer,91107,SE,CT,Ireland,S,"Scala, SQL, Data Visualization, R",PhD,7,Gaming,Smart Analytics,2024-04-24,2024,Remote
4891,Research Scientist,187440,EX,FL,Sweden,S,"Deep Learning, Computer Vision, Python, SQL, R",Bachelor,10,Gaming,TechCorp Inc,2024-01-18,2024,Remote
4892,Data Analyst,107436,MI,FL,United States,L,"Java, Kubernetes, Computer Vision, TensorFlow, MLOps",Bachelor,4,Transportation,Advanced Robotics,2024-07-30,2024,On-Site
4893,AI Product Manager,69546,EN,PT,Singapore,M,"Kubernetes, NLP, PyTorch",PhD,0,Technology,Algorithmic Solutions,2024-07-05,2024,Hybrid
4894,Data Scientist,47211,MI,CT,Finland,S,"Python, R, Java",Associate,4,Technology,Machine Intelligence Group,2024-05-27,2024,On-Site
4895,Robotics Engineer,80121,MI,PT,Ireland,L,"GCP, R, Docker",Associate,3,Retail,AI Innovations,2024-11-16,2024,Hybrid
4896,NLP Engineer,100638,SE,CT,Netherlands,S,"Python, Data Visualization, SQL, Azure, Linux",Associate,7,Retail,Autonomous Tech,2025-01-02,2025,Remote
4897,Deep Learning Engineer,45615,EN,CT,China,S,"Hadoop, SQL, GCP, Statistics, Scala",Associate,1,Media,Algorithmic Solutions,2024-01-21,2024,Remote
4898,AI Research Scientist,90646,MI,FT,Germany,S,"Kubernetes, Python, Tableau, Scala, Statistics",Associate,2,Government,Quantum Computing Inc,2024-07-03,2024,Remote
4899,ML Ops Engineer,131024,EX,CT,Japan,L,"NLP, Java, Deep Learning, Linux",Bachelor,12,Consulting,Cognitive Computing,2024-11-02,2024,On-Site
4900,Autonomous Systems Engineer,203404,EX,CT,Finland,L,"Java, Python, Deep Learning, Scala",PhD,19,Consulting,Smart Analytics,2024-10-28,2024,Remote
4901,Data Engineer,126322,EX,PT,Japan,S,"NLP, Linux, R",Bachelor,16,Education,AI Innovations,2024-07-15,2024,Remote
4902,ML Ops Engineer,118168,MI,PT,Denmark,M,"MLOps, Python, SQL, Java, Computer Vision",PhD,2,Government,Cloud AI Solutions,2024-12-03,2024,Hybrid
4903,Machine Learning Researcher,43999,EN,PT,Austria,L,"Deep Learning, Hadoop, TensorFlow, Spark, SQL",PhD,1,Consulting,Neural Networks Co,2025-01-23,2025,On-Site
4904,Computer Vision Engineer,46121,EN,PT,South Korea,M,"AWS, PyTorch, Java, SQL",Master,0,Media,Cognitive Computing,2024-01-16,2024,Hybrid
4905,Machine Learning Engineer,206613,EX,PT,Netherlands,S,"Linux, Data Visualization, MLOps, R",Associate,18,Media,Machine Intelligence Group,2024-01-10,2024,Hybrid
4906,AI Architect,144513,EX,CT,China,M,"Data Visualization, Python, SQL",Associate,12,Media,Digital Transformation LLC,2024-12-16,2024,Remote
4907,Computer Vision Engineer,116663,MI,FT,Norway,M,"Scala, TensorFlow, MLOps",Bachelor,3,Energy,Digital Transformation LLC,2024-09-15,2024,On-Site
4908,Data Analyst,123622,EX,FT,Japan,M,"Git, R, Deep Learning, Mathematics, Hadoop",Master,15,Energy,DataVision Ltd,2024-05-03,2024,Remote
4909,NLP Engineer,77776,EN,FT,United Kingdom,L,"Kubernetes, AWS, Mathematics",Bachelor,0,Transportation,Machine Intelligence Group,2024-12-13,2024,Remote
4910,Machine Learning Researcher,103835,EX,PT,Austria,S,"TensorFlow, Python, Docker, Spark, Linux",Bachelor,11,Finance,DeepTech Ventures,2024-09-23,2024,Hybrid
4911,AI Architect,91128,SE,FT,Japan,L,"Mathematics, TensorFlow, SQL, Java",Bachelor,5,Technology,Advanced Robotics,2024-03-06,2024,Hybrid
4912,Data Scientist,72798,SE,FT,Austria,M,"Deep Learning, Python, NLP, Data Visualization",Master,8,Media,Neural Networks Co,2024-08-15,2024,On-Site
4913,Machine Learning Engineer,85424,MI,FT,Canada,M,"AWS, R, Python, Docker",Associate,3,Telecommunications,Algorithmic Solutions,2024-08-10,2024,Remote
4914,Data Scientist,49147,EN,FT,Singapore,S,"Hadoop, Python, Linux, TensorFlow",Associate,1,Energy,Quantum Computing Inc,2024-05-20,2024,Hybrid
4915,AI Research Scientist,106978,SE,PT,Ireland,L,"SQL, Kubernetes, Mathematics",PhD,5,Government,Digital Transformation LLC,2024-06-12,2024,On-Site
4916,Computer Vision Engineer,132764,SE,FT,United Kingdom,M,"Computer Vision, MLOps, Java, NLP, Azure",Master,7,Automotive,AI Innovations,2024-11-07,2024,Hybrid
4917,NLP Engineer,252413,EX,CT,Switzerland,M,"SQL, AWS, PyTorch, Mathematics",PhD,14,Telecommunications,DeepTech Ventures,2024-10-26,2024,On-Site
4918,AI Software Engineer,128067,SE,FL,Norway,S,"Computer Vision, Data Visualization, Hadoop",Bachelor,5,Automotive,Predictive Systems,2024-01-26,2024,On-Site
4919,Data Engineer,122517,MI,PT,United States,L,"TensorFlow, Kubernetes, PyTorch",Master,4,Automotive,Future Systems,2024-01-20,2024,On-Site
4920,Deep Learning Engineer,66576,EN,PT,Canada,L,"Spark, R, NLP",Bachelor,0,Automotive,DataVision Ltd,2024-07-05,2024,Hybrid
4921,NLP Engineer,134083,MI,FT,Denmark,L,"Git, Scala, Data Visualization, Python, Computer Vision",PhD,4,Consulting,DeepTech Ventures,2024-01-25,2024,Remote
4922,Deep Learning Engineer,129699,MI,PT,United States,L,"GCP, Computer Vision, Linux, Java",Master,2,Finance,AI Innovations,2024-08-30,2024,On-Site
4923,AI Consultant,49213,EN,CT,Australia,S,"PyTorch, SQL, Statistics",Associate,1,Technology,Future Systems,2024-12-06,2024,Hybrid
4924,Machine Learning Engineer,118450,SE,FL,Canada,S,"Hadoop, Data Visualization, Python, Computer Vision",Master,5,Transportation,DeepTech Ventures,2024-07-20,2024,On-Site
4925,AI Software Engineer,123935,MI,FT,United States,L,"Python, Mathematics, NLP, Statistics, Tableau",PhD,2,Government,Autonomous Tech,2025-03-01,2025,Hybrid
4926,Computer Vision Engineer,174843,SE,FT,Singapore,L,"Scala, R, NLP",Bachelor,7,Government,Cognitive Computing,2024-11-14,2024,On-Site
4927,NLP Engineer,159121,EX,PT,France,L,"Hadoop, Spark, Computer Vision, Python, PyTorch",Master,11,Retail,TechCorp Inc,2025-02-24,2025,On-Site
4928,Computer Vision Engineer,93043,MI,FL,Germany,S,"SQL, Linux, Spark, Python, Scala",Master,4,Real Estate,TechCorp Inc,2024-05-23,2024,On-Site
4929,Head of AI,69641,MI,CT,South Korea,M,"PyTorch, Kubernetes, Java, Git, MLOps",Associate,3,Healthcare,DeepTech Ventures,2024-11-27,2024,Hybrid
4930,AI Architect,121458,SE,CT,United States,S,"Mathematics, MLOps, Java, Docker, Python",Associate,8,Government,Autonomous Tech,2024-03-06,2024,On-Site
4931,Head of AI,80910,EN,FT,Netherlands,M,"Python, MLOps, Scala, Mathematics, TensorFlow",Associate,1,Telecommunications,DataVision Ltd,2024-05-31,2024,Remote
4932,Principal Data Scientist,105096,MI,CT,United Kingdom,S,"Python, TensorFlow, AWS",Master,2,Healthcare,DataVision Ltd,2025-03-19,2025,Hybrid
4933,AI Research Scientist,178734,EX,FT,Sweden,S,"Data Visualization, Python, Kubernetes",Master,18,Telecommunications,Digital Transformation LLC,2025-02-12,2025,On-Site
4934,Principal Data Scientist,121811,EX,PT,Japan,L,"Java, Azure, Deep Learning",Bachelor,12,Energy,Autonomous Tech,2025-03-09,2025,Hybrid
4935,Machine Learning Engineer,206886,EX,FT,Germany,L,"Computer Vision, Data Visualization, Git, Python, Spark",Bachelor,18,Education,Quantum Computing Inc,2024-08-31,2024,Hybrid
4936,AI Architect,215355,EX,FT,Singapore,L,"Azure, Linux, Deep Learning, Python",Master,10,Retail,Quantum Computing Inc,2024-04-16,2024,Remote
4937,AI Software Engineer,46314,EN,FL,Japan,S,"Kubernetes, Data Visualization, Computer Vision, R",Bachelor,0,Automotive,AI Innovations,2024-11-26,2024,On-Site
4938,Head of AI,55954,MI,CT,Japan,S,"Python, GCP, TensorFlow, MLOps, Git",Master,3,Real Estate,Future Systems,2024-03-19,2024,On-Site
4939,Research Scientist,214206,SE,PT,Switzerland,L,"Python, Git, Hadoop, R",PhD,8,Consulting,Future Systems,2024-07-03,2024,Hybrid
4940,Robotics Engineer,47603,EN,FT,South Korea,M,"PyTorch, GCP, Scala, Kubernetes",PhD,1,Real Estate,Advanced Robotics,2024-11-07,2024,Remote
4941,AI Software Engineer,94183,SE,FT,Germany,S,"SQL, Computer Vision, Statistics, Scala",Bachelor,7,Consulting,DeepTech Ventures,2024-07-19,2024,On-Site
4942,Machine Learning Researcher,115528,MI,FT,Canada,L,"Python, PyTorch, Data Visualization, Git, GCP",PhD,2,Real Estate,TechCorp Inc,2024-09-14,2024,Hybrid
4943,Data Engineer,93102,MI,CT,United Kingdom,L,"Git, SQL, Spark",Associate,4,Manufacturing,Cognitive Computing,2024-03-02,2024,Hybrid
4944,AI Specialist,120914,MI,FL,United States,M,"Java, R, GCP, Linux, Tableau",PhD,4,Automotive,Cognitive Computing,2024-10-14,2024,On-Site
4945,Robotics Engineer,98656,MI,FT,Netherlands,S,"Linux, TensorFlow, Scala, AWS",Master,2,Transportation,Future Systems,2024-04-01,2024,On-Site
4946,Machine Learning Researcher,242437,EX,FL,Sweden,M,"Mathematics, Kubernetes, Scala",Bachelor,19,Government,Cognitive Computing,2024-06-29,2024,Hybrid
4947,Machine Learning Researcher,345228,EX,FT,Switzerland,M,"Spark, Azure, Statistics, Hadoop, Deep Learning",Associate,16,Technology,Autonomous Tech,2024-02-23,2024,Hybrid
4948,ML Ops Engineer,158293,EX,CT,China,M,"GCP, Python, TensorFlow, Mathematics",Associate,10,Education,Machine Intelligence Group,2024-04-22,2024,On-Site
4949,AI Software Engineer,57612,EN,PT,South Korea,L,"MLOps, Linux, Data Visualization, Git",Bachelor,0,Technology,Cognitive Computing,2024-06-26,2024,Remote
4950,Data Scientist,237173,EX,FL,Denmark,L,"Statistics, GCP, NLP",Bachelor,18,Automotive,Neural Networks Co,2025-01-18,2025,Hybrid
4951,Research Scientist,226516,EX,PT,Norway,L,"TensorFlow, Statistics, Linux, Azure, SQL",PhD,17,Telecommunications,TechCorp Inc,2025-01-18,2025,On-Site
4952,AI Specialist,48584,EN,FL,China,L,"Scala, Java, Azure, Python",Bachelor,1,Consulting,Advanced Robotics,2025-04-15,2025,On-Site
4953,Principal Data Scientist,92641,SE,FL,Japan,S,"Python, SQL, TensorFlow, Tableau",Associate,6,Media,Cognitive Computing,2024-08-17,2024,Hybrid
4954,AI Research Scientist,92743,MI,PT,Canada,M,"PyTorch, Python, Computer Vision, SQL",PhD,3,Real Estate,Digital Transformation LLC,2025-03-07,2025,On-Site
4955,ML Ops Engineer,69149,MI,PT,Finland,L,"Scala, Mathematics, PyTorch, Computer Vision",PhD,2,Gaming,DeepTech Ventures,2025-04-02,2025,On-Site
4956,Research Scientist,138008,SE,FT,Canada,M,"Python, R, Data Visualization, Kubernetes",Associate,7,Finance,Cognitive Computing,2025-03-27,2025,Remote
4957,AI Specialist,36553,EN,FL,Finland,M,"Python, TensorFlow, Statistics",Master,0,Energy,Autonomous Tech,2024-07-18,2024,On-Site
4958,Deep Learning Engineer,82921,SE,FT,India,M,"Python, Azure, Data Visualization, TensorFlow",Associate,8,Consulting,DataVision Ltd,2024-02-10,2024,Remote
4959,Robotics Engineer,118865,EX,CT,Israel,M,"PyTorch, AWS, Kubernetes, TensorFlow",PhD,13,Finance,Machine Intelligence Group,2025-04-10,2025,Hybrid
4960,Data Engineer,72360,MI,FL,South Korea,M,"SQL, Java, TensorFlow, Statistics, Hadoop",Associate,2,Retail,DataVision Ltd,2024-06-30,2024,On-Site
4961,AI Product Manager,64858,EN,FL,Sweden,S,"Linux, Scala, SQL, MLOps, PyTorch",Master,0,Technology,AI Innovations,2024-04-08,2024,Remote
4962,ML Ops Engineer,75587,MI,PT,Netherlands,S,"Azure, Statistics, Python",PhD,4,Technology,Predictive Systems,2025-03-08,2025,Hybrid
4963,Data Analyst,46856,EN,FL,Japan,L,"TensorFlow, Hadoop, Docker, Statistics",Master,1,Manufacturing,Cognitive Computing,2024-12-06,2024,On-Site
4964,AI Research Scientist,112650,SE,FT,Singapore,S,"Python, GCP, Docker",PhD,7,Telecommunications,Autonomous Tech,2024-06-05,2024,On-Site
4965,AI Architect,90097,SE,FT,Finland,M,"Computer Vision, Python, Azure",Master,6,Real Estate,Smart Analytics,2025-01-27,2025,Hybrid
4966,Head of AI,73980,MI,FT,Austria,L,"Scala, Data Visualization, Computer Vision, GCP",Associate,4,Healthcare,Smart Analytics,2024-02-15,2024,On-Site
4967,AI Software Engineer,320849,EX,PT,Denmark,L,"NLP, Tableau, GCP, Mathematics",Associate,19,Media,Quantum Computing Inc,2024-07-15,2024,Hybrid
4968,AI Software Engineer,165290,EX,CT,China,M,"Python, AWS, Azure, GCP, R",Master,11,Gaming,Future Systems,2024-06-09,2024,Remote
4969,Machine Learning Researcher,117475,EX,FT,Austria,S,"SQL, Docker, Scala, Tableau",Master,14,Consulting,Smart Analytics,2025-04-10,2025,Hybrid
4970,Computer Vision Engineer,97505,MI,CT,France,L,"Kubernetes, Spark, Python, Docker, Tableau",Bachelor,3,Real Estate,DataVision Ltd,2024-12-31,2024,Remote
4971,Data Analyst,105527,EN,FT,Switzerland,M,"Kubernetes, Docker, Python",Master,1,Automotive,Cloud AI Solutions,2024-10-24,2024,Remote
4972,Principal Data Scientist,57436,MI,FT,Finland,S,"AWS, Scala, Linux",Associate,3,Media,Digital Transformation LLC,2024-03-27,2024,On-Site
4973,Deep Learning Engineer,64509,EN,PT,Austria,L,"Kubernetes, SQL, Azure, Data Visualization, Linux",Bachelor,0,Education,Machine Intelligence Group,2024-03-21,2024,Hybrid
4974,Data Scientist,79958,EN,CT,Denmark,S,"Python, Linux, Hadoop, Mathematics",Bachelor,0,Telecommunications,Neural Networks Co,2025-04-20,2025,On-Site
4975,Machine Learning Engineer,78575,EN,FL,Singapore,M,"Git, Linux, Statistics, GCP",Bachelor,0,Finance,Autonomous Tech,2024-02-19,2024,Remote
4976,AI Software Engineer,95039,SE,CT,India,S,"Docker, Deep Learning, Data Visualization",Associate,8,Technology,Machine Intelligence Group,2025-04-01,2025,Hybrid
4977,Principal Data Scientist,47838,EN,FT,Israel,S,"Kubernetes, Scala, Python, TensorFlow",Associate,0,Energy,Cognitive Computing,2025-02-12,2025,On-Site
4978,Machine Learning Engineer,250873,EX,FL,Netherlands,L,"Data Visualization, Python, R, GCP, Statistics",PhD,10,Media,Autonomous Tech,2024-07-05,2024,Hybrid
4979,Research Scientist,59483,EN,CT,France,M,"Python, Hadoop, MLOps",Master,1,Real Estate,AI Innovations,2025-03-11,2025,Hybrid
4980,ML Ops Engineer,149960,EX,CT,Sweden,S,"PyTorch, Linux, TensorFlow, GCP, Computer Vision",Associate,19,Finance,Autonomous Tech,2025-01-30,2025,Hybrid
4981,Head of AI,82304,EN,FT,Norway,L,"Java, Git, Linux, SQL",PhD,0,Media,Advanced Robotics,2025-03-20,2025,Hybrid
4982,AI Specialist,65507,EN,CT,South Korea,L,"Python, Azure, MLOps",Associate,1,Retail,Cognitive Computing,2024-02-21,2024,Hybrid
4983,Research Scientist,139402,SE,PT,United States,M,"SQL, R, Deep Learning, Azure, MLOps",Bachelor,6,Retail,Smart Analytics,2024-07-21,2024,On-Site
4984,Data Analyst,46291,EN,FL,Israel,L,"Git, Java, Data Visualization, Python",Master,1,Consulting,Machine Intelligence Group,2025-02-24,2025,On-Site
4985,Machine Learning Engineer,195647,EX,PT,Sweden,M,"Java, Python, NLP, Tableau, Deep Learning",PhD,18,Gaming,DeepTech Ventures,2024-05-24,2024,Hybrid
4986,Head of AI,61653,EN,PT,Canada,S,"Scala, Python, Mathematics, Tableau, Computer Vision",Associate,1,Gaming,Cognitive Computing,2025-02-05,2025,On-Site
4987,Data Engineer,54707,MI,FT,India,M,"Python, TensorFlow, Hadoop, Mathematics, Java",Master,2,Manufacturing,DataVision Ltd,2024-06-29,2024,Hybrid
4988,Computer Vision Engineer,93488,MI,FT,Denmark,S,"Mathematics, Kubernetes, Python, GCP, AWS",Master,2,Energy,DataVision Ltd,2024-01-08,2024,Hybrid
4989,Autonomous Systems Engineer,58368,EN,FT,China,L,"Linux, Data Visualization, Azure, Java",Bachelor,0,Gaming,Machine Intelligence Group,2024-01-31,2024,Hybrid
4990,ML Ops Engineer,150930,EX,FL,Ireland,L,"NLP, Azure, Deep Learning",PhD,17,Retail,Algorithmic Solutions,2024-09-28,2024,On-Site
4991,AI Software Engineer,49624,EN,CT,Israel,M,"Mathematics, Git, Python",Associate,1,Education,TechCorp Inc,2024-11-25,2024,Hybrid
4992,Autonomous Systems Engineer,78968,MI,FL,Sweden,S,"Java, Git, Computer Vision",Master,4,Technology,Advanced Robotics,2025-02-21,2025,On-Site
4993,Research Scientist,73817,EN,CT,United Kingdom,M,"SQL, Mathematics, AWS, Docker, Python",PhD,0,Education,Predictive Systems,2024-11-30,2024,On-Site
4994,ML Ops Engineer,71342,MI,FT,Israel,L,"SQL, Hadoop, Mathematics, Java, Git",Master,4,Automotive,Advanced Robotics,2024-11-22,2024,On-Site
4995,AI Specialist,110450,MI,FL,United States,M,"AWS, Scala, Linux",Master,3,Consulting,Future Systems,2025-03-15,2025,On-Site
4996,Research Scientist,174739,EX,FL,Denmark,S,"SQL, PyTorch, Tableau, Docker, Data Visualization",PhD,11,Real Estate,AI Innovations,2025-01-10,2025,On-Site
4997,Deep Learning Engineer,77746,MI,FT,France,M,"SQL, GCP, MLOps, Statistics",Bachelor,4,Education,Smart Analytics,2025-04-05,2025,Remote
4998,Computer Vision Engineer,116592,MI,FT,Netherlands,M,"Data Visualization, Mathematics, Tableau, SQL",Associate,2,Technology,Neural Networks Co,2025-01-04,2025,Remote
4999,AI Architect,89632,MI,PT,Austria,L,"Kubernetes, Linux, TensorFlow, Python, AWS",Bachelor,3,Media,Autonomous Tech,2024-11-18,2024,Remote
5000,NLP Engineer,112834,SE,CT,China,L,"MLOps, SQL, Linux",PhD,6,Government,Quantum Computing Inc,2024-12-31,2024,On-Site
5001,Data Engineer,94160,MI,FT,Australia,L,"TensorFlow, AWS, Tableau, NLP",PhD,3,Retail,Smart Analytics,2025-01-19,2025,Hybrid
5002,AI Product Manager,81397,MI,CT,Singapore,S,"R, Scala, GCP, Deep Learning",PhD,4,Automotive,Predictive Systems,2024-02-18,2024,Hybrid
5003,Data Scientist,140129,SE,FT,Canada,L,"GCP, SQL, MLOps, Scala, Linux",Master,6,Healthcare,DeepTech Ventures,2024-02-20,2024,Remote
5004,Machine Learning Researcher,247664,EX,FT,Norway,M,"Kubernetes, GCP, NLP, AWS",Master,17,Education,Cognitive Computing,2024-02-21,2024,On-Site
5005,Robotics Engineer,66040,MI,FT,France,S,"TensorFlow, Java, Scala, NLP, Docker",Associate,4,Gaming,Neural Networks Co,2024-11-14,2024,Remote
5006,Principal Data Scientist,172202,SE,FL,United States,M,"SQL, Git, Kubernetes, Linux, Java",Bachelor,8,Energy,TechCorp Inc,2024-06-24,2024,Remote
5007,Data Analyst,42509,EN,CT,Israel,M,"Data Visualization, MLOps, SQL, Computer Vision, Kubernetes",PhD,0,Media,Digital Transformation LLC,2024-01-31,2024,Hybrid
5008,Autonomous Systems Engineer,94844,MI,FL,Australia,M,"Linux, TensorFlow, Deep Learning, SQL, Git",Bachelor,4,Healthcare,Cognitive Computing,2024-10-05,2024,Hybrid
5009,Research Scientist,57433,EN,CT,Sweden,M,"TensorFlow, MLOps, Statistics, Python",Associate,1,Media,Cloud AI Solutions,2024-01-16,2024,On-Site
5010,Research Scientist,124365,EX,FL,Japan,S,"Python, SQL, NLP, GCP, R",Bachelor,12,Telecommunications,Smart Analytics,2024-05-16,2024,On-Site
5011,AI Architect,238496,EX,PT,Netherlands,L,"Computer Vision, Mathematics, Kubernetes, PyTorch, Docker",PhD,16,Gaming,Future Systems,2024-02-17,2024,Hybrid
5012,AI Consultant,37420,EN,PT,Finland,M,"Python, Hadoop, Computer Vision, Mathematics, SQL",Master,0,Education,DeepTech Ventures,2025-04-05,2025,On-Site
5013,Data Engineer,253381,EX,FL,Singapore,M,"GCP, Tableau, Python, Data Visualization",PhD,16,Consulting,Neural Networks Co,2024-05-26,2024,On-Site
5014,NLP Engineer,126229,MI,CT,United States,L,"Kubernetes, Python, Tableau, Hadoop, Azure",PhD,3,Healthcare,TechCorp Inc,2024-11-21,2024,Remote
5015,Machine Learning Researcher,81867,MI,CT,Japan,L,"Kubernetes, PyTorch, Git, Tableau",PhD,2,Real Estate,TechCorp Inc,2025-02-01,2025,Hybrid
5016,Deep Learning Engineer,131190,EX,FL,Israel,M,"Hadoop, Python, Kubernetes, Data Visualization, Java",Bachelor,13,Manufacturing,Future Systems,2025-01-27,2025,On-Site
5017,ML Ops Engineer,130445,SE,FL,Canada,M,"SQL, R, Kubernetes, Git, Scala",Bachelor,5,Technology,TechCorp Inc,2024-11-15,2024,On-Site
5018,AI Software Engineer,216468,EX,FL,France,M,"MLOps, SQL, Linux, Scala, TensorFlow",PhD,14,Retail,Advanced Robotics,2024-07-11,2024,Hybrid
5019,AI Product Manager,148896,EX,CT,Japan,S,"AWS, Mathematics, Scala, R",PhD,19,Consulting,Quantum Computing Inc,2025-04-26,2025,On-Site
5020,Data Engineer,85663,MI,PT,Sweden,S,"Azure, Linux, Computer Vision, Python, TensorFlow",Associate,2,Energy,Cloud AI Solutions,2024-05-30,2024,Hybrid
5021,NLP Engineer,65067,MI,FL,China,M,"Kubernetes, Data Visualization, Tableau, Python",Bachelor,4,Healthcare,Machine Intelligence Group,2024-11-03,2024,On-Site
5022,AI Architect,104098,MI,FL,United States,L,"Scala, R, Linux",Associate,3,Consulting,Cloud AI Solutions,2024-09-25,2024,On-Site
